logg,Teff,Z,u,Filt,Met,Mod
1.5,6750,-4.5,0.5166,R,F,A
2,6750,-4.5,0.5164,R,F,A
2.5,6750,-4.5,0.4248,R,F,A
3,6750,-4.5,0.4182,R,F,A
3.5,6750,-4.5,0.4198,R,F,A
4,6750,-4.5,0.4191,R,F,A
4.5,6750,-4.5,0.4172,R,F,A
5,6750,-4.5,0.4119,R,F,A
0.5,7000,-4.5,0.504,R,F,A
1,7000,-4.5,0.5007,R,F,A
1.5,7000,-4.5,0.5001,R,F,A
2,7000,-4.5,0.5012,R,F,A
2.5,7000,-4.5,0.5013,R,F,A
3,7000,-4.5,0.4113,R,F,A
3.5,7000,-4.5,0.4086,R,F,A
4,7000,-4.5,0.41,R,F,A
4.5,7000,-4.5,0.4103,R,F,A
5,7000,-4.5,0.408,R,F,A
1,7250,-4.5,0.484,R,F,A
1.5,7250,-4.5,0.4827,R,F,A
2,7250,-4.5,0.4833,R,F,A
2.5,7250,-4.5,0.4859,R,F,A
3,7250,-4.5,0.4864,R,F,A
3.5,7250,-4.5,0.3987,R,F,A
4,7250,-4.5,0.3994,R,F,A
4.5,7250,-4.5,0.4015,R,F,A
5,7250,-4.5,0.4002,R,F,A
1,7500,-4.5,0.4668,R,F,A
1.5,7500,-4.5,0.4639,R,F,A
2,7500,-4.5,0.4644,R,F,A
2.5,7500,-4.5,0.4669,R,F,A
3,7500,-4.5,0.4708,R,F,A
3.5,7500,-4.5,0.4714,R,F,A
4,7500,-4.5,0.3936,R,F,A
4.5,7500,-4.5,0.3916,R,F,A
5,7500,-4.5,0.3917,R,F,A
1.5,7750,-4.5,0.4453,R,F,A
2,7750,-4.5,0.4448,R,F,A
2.5,7750,-4.5,0.447,R,F,A
3,7750,-4.5,0.4517,R,F,A
3.5,7750,-4.5,0.456,R,F,A
4,7750,-4.5,0.4563,R,F,A
4.5,7750,-4.5,0.3821,R,F,A
5,7750,-4.5,0.3826,R,F,A
1.5,8000,-4.5,0.4292,R,F,A
2,8000,-4.5,0.4263,R,F,A
2.5,8000,-4.5,0.4278,R,F,A
3,8000,-4.5,0.4315,R,F,A
3.5,8000,-4.5,0.4377,R,F,A
4,8000,-4.5,0.4413,R,F,A
4.5,8000,-4.5,0.4418,R,F,A
5,8000,-4.5,0.3719,R,F,A
2,8250,-4.5,0.4102,R,F,A
2.5,8250,-4.5,0.41,R,F,A
3,8250,-4.5,0.4133,R,F,A
3.5,8250,-4.5,0.4179,R,F,A
4,8250,-4.5,0.4244,R,F,A
4.5,8250,-4.5,0.4275,R,F,A
5,8250,-4.5,0.3651,R,F,A
1.5,8500,-4.5,0.4062,R,F,A
2,8500,-4.5,0.3969,R,F,A
2.5,8500,-4.5,0.3944,R,F,A
3,8500,-4.5,0.3963,R,F,A
3.5,8500,-4.5,0.4006,R,F,A
4,8500,-4.5,0.406,R,F,A
4.5,8500,-4.5,0.4122,R,F,A
5,8500,-4.5,0.4128,R,F,A
2,8750,-4.5,0.3866,R,F,A
2.5,8750,-4.5,0.3816,R,F,A
3,8750,-4.5,0.3817,R,F,A
3.5,8750,-4.5,0.3848,R,F,A
